Codigo,Estacao,UF,jan1,jan2,jan3,fev1,fev2,fev3,mar1,mar2,mar3,abr1,abr2,abr3,mai1,mai2,mai3,jun1,jun2,jun3,jul1,jul2,jul3,ago1,ago2,ago3,set1,set2,set3,out1,out2,out3,nov1,nov2,nov3,dez1,dez2,dez3
83582,BAMBUI,MG,111.4,78.6,110.0,65.0,52.5,51.8,67.5,56.1,42.2,40.7,20.1,12.7,13.6,14.0,20.3,10.8,3.7,3.3,0.4,2.9,5.1,2.2,4.1,5.4,17.0,17.8,26.8,42.5,32.0,44.7,56.5,64.1,66.8,76.9,107.6,95.4
83689,BARBACENA,MG,103.8,86.9,88.3,58.0,50.9,43.6,56.8,64.9,59.8,31.2,19.9,13.7,11.9,15.7,11.5,9.7,4.3,4.4,1.9,4.9,3.7,4.2,6.6,5.8,18.8,16.6,27.7,35.9,31.7,55.4,64.0,68.4,83.2,72.6,95.9,99.5
82784,BARBALHA,CE,43.9,59.9,77.1,67.5,73.8,56.1,47.3,88.8,115.5,60.2,52.4,38.4,35.5,12.3,22.1,5.2,5.6,7.4,3.3,5.5,4.5,1.7,0.2,0.4,1.2,1.9,1.1,3.1,10.4,6.7,7.9,9.3,19.1,21.6,25.0,29.7
82113,BARCELOS,AM,48.1,52.2,64.3,63.0,60.0,70.0,80.4,71.3,106.3,95.1,123.2,110.3,112.8,94.5,104.5,95.6,79.5,67.9,61.9,68.9,55.3,45.4,39.7,41.6,34.3,25.9,41.1,25.2,38.7,31.4,51.6,46.0,36.6,39.2,58.3,62.6
83179,BARRA,BA,34.3,37.1,41.2,36.6,30.9,29.6,NaN,NaN,NaN,32.9,21.2,13.1,7.5,2.8,3.6,1.4,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,2.3,0.0,4.3,2.2,9.0,18.8,21.7,31.9,41.3,38.7,40.3,28.0
82571,BARRA DO CORDA,MA,44.5,59.4,69.0,62.8,80.5,50.5,69.6,78.0,80.6,65.9,49.1,38.1,28.6,23.9,22.3,6.0,4.8,3.4,2.2,3.7,2.6,2.8,1.0,3.3,4.0,1.4,7.6,6.7,9.8,16.8,27.6,20.4,30.7,23.4,34.9,55.7
83236,BARREIRAS,BA,49.8,57.5,64.8,56.3,46.8,32.0,45.2,52.2,54.9,22.0,28.9,20.2,6.1,6.0,6.2,2.4,0.2,0.2,0.0,0.0,0.5,0.1,0.2,0.3,3.7,1.3,5.1,10.4,18.7,28.2,48.0,48.1,72.9,52.6,71.1,63.3
82191,BELEM,PA,102.0,142.3,149.4,154.3,154.3,129.1,158.1,173.0,175.3,159.3,158.7,147.5,129.6,101.4,92.5,66.2,74.4,65.1,63.8,49.4,42.8,49.8,32.7,46.3,35.6,40.5,44.0,44.9,49.1,41.8,54.7,47.8,48.9,62.8,89.2,131.5
83587,BELO HORIZONTE,MG,117.3,106.3,107.4,68.6,58.6,50.4,73.1,67.0,57.4,42.7,22.8,16.8,9.1,7.6,11.4,6.7,2.3,2.5,0.8,1.8,2.9,3.4,1.9,5.4,7.9,10.7,30.6,33.5,30.7,45.9,66.8,81.6,87.6,99.4,121.9,117.8
82246,BELTERRA,PA,55.8,82.2,84.5,83.6,93.4,74.8,99.0,101.9,124.7,111.5,87.0,101.9,96.0,66.7,78.8,51.2,51.5,36.3,40.6,30.6,30.1,14.7,18.1,14.7,12.5,10.5,9.7,13.6,14.9,25.1,23.6,23.8,26.1,20.3,29.4,39.4
82410,BENJAMIN CONSTANT,AM,101.3,98.7,145.3,106.6,86.3,100.5,105.6,99.2,106.4,98.9,79.3,97.9,81.8,68.6,67.9,72.4,47.8,45.6,48.7,41.0,38.3,33.9,38.9,40.3,38.7,53.1,51.6,52.4,60.6,83.5,75.6,79.6,82.7,85.8,71.5,114.3
83557,BOA ESPERANCA,ES,38.8,49.9,37.5,42.2,27.6,21.9,49.9,42.2,37.8,39.3,33.3,14.9,14.6,13.4,17.2,14.4,12.3,15.5,10.9,18.9,12.3,7.0,19.2,11.5,7.5,11.6,18.9,19.0,17.0,48.5,65.7,72.2,77.0,71.5,64.2,53.5
82024,BOA VISTA,RR,12.1,8.2,8.8,12.3,10.9,8.2,7.3,14.9,17.0,38.6,41.4,69.7,102.5,114.1,130.7,119.5,113.0,103.2,94.3,105.9,107.9,72.0,85.5,63.2,38.5,31.8,27.8,27.1,18.8,22.6,18.6,26.1,30.6,10.9,15.7,32.1
83533,BOM DESPACHO,MG,82.5,73.7,93.5,63.0,57.9,41.9,68.1,52.7,31.2,23.6,18.1,9.7,7.4,16.3,14.3,10.5,3.3,1.8,0.1,1.6,3.6,2.9,1.7,4.7,11.1,11.8,25.9,26.7,30.2,47.3,64.3,80.9,68.8,88.4,106.7,92.6
83919,BOM JESUS,RS,58.2,58.0,62.5,55.6,61.3,47.7,37.4,39.4,44.9,36.1,33.1,42.6,27.0,42.6,49.3,38.3,46.4,50.2,63.4,59.6,49.3,49.2,33.5,43.2,43.5,62.1,60.4,60.5,65.1,62.5,48.5,43.6,46.0,47.6,47.5,61.9
83288,BOM JESUS DA LAPA,BA,34.0,39.1,44.8,41.0,31.0,24.1,38.1,31.1,41.8,31.2,15.9,6.7,3.5,4.6,3.5,1.6,0.4,0.4,0.3,0.1,0.0,0.0,0.5,0.4,1.8,1.3,7.8,8.3,15.2,24.1,38.5,47.0,49.4,65.5,56.5,46.2
82975,BOM JESUS DO PIAUI,PI,NaN,NaN,NaN,69.3,60.0,43.4,47.4,62.2,61.0,50.0,28.4,21.2,16.6,13.4,6.7,0.5,0.0,0.2,0.0,0.2,0.0,0.0,0.3,0.0,5.3,1.2,9.8,10.3,17.2,33.1,31.6,37.8,49.8,53.3,59.9,37.1
83377,BRASILIA,DF,71.3,58.9,75.9,71.3,54.1,54.0,83.4,70.8,71.8,65.1,47.0,33.1,9.0,8.6,9.3,1.9,0.9,0.5,0.1,0.6,0.8,0.1,5.2,11.0,7.2,7.4,22.4,37.5,35.8,68.4,76.1,89.4,87.6,80.8,75.1,85.2
82188,BREVES,PA,NaN,86.1,NaN,103.2,121.7,89.7,129.0,121.8,132.4,110.6,119.6,108.4,105.9,66.6,78.5,62.1,56.5,53.8,40.2,34.7,27.8,17.9,18.5,20.7,17.7,14.8,24.9,20.5,21.8,25.8,21.9,27.8,40.9,47.0,67.3,NaN
83589,CONCEICAO DO MATO DENTRO,MG,79.2,78.3,86.7,66.0,48.3,31.7,71.4,63.2,46.9,42.5,20.7,22.8,8.5,10.5,11.2,4.2,1.8,1.8,0.5,2.4,3.3,1.4,2.5,5.1,4.3,10.8,20.1,24.0,24.9,44.7,77.4,78.1,83.9,102.3,109.1,104.0
82886,CABROBO,PE,18.3,25.2,42.6,30.8,36.4,25.5,21.1,38.6,39.9,30.8,23.8,10.5,14.7,5.5,15.3,NaN,NaN,NaN,4.0,5.4,3.6,1.9,2.0,0.7,0.8,1.1,0.4,0.3,1.7,6.6,2.9,9.3,14.6,9.9,18.0,20.4
83339,CAETITE,BA,34.2,43.3,37.5,27.8,25.6,24.0,31.8,32.5,35.0,23.7,10.9,12.0,6.6,3.1,3.4,2.6,2.7,5.1,4.6,3.6,4.2,1.7,1.0,3.1,2.1,2.1,9.2,6.8,14.4,27.0,42.0,52.8,73.5,51.6,60.8,44.0
83681,POCOS DE CALDAS,MG,106.5,80.7,95.6,80.3,76.7,50.5,56.6,59.4,59.2,35.4,31.3,15.8,NaN,NaN,NaN,11.8,5.7,6.4,3.6,7.9,10.4,4.2,6.6,8.6,19.3,25.4,28.5,39.2,46.5,NaN,51.8,51.3,68.1,70.3,91.7,NaN
82263,CAMETA,PA,88.9,110.3,127.2,122.1,158.9,97.0,136.9,143.9,153.9,125.6,143.8,127.5,133.8,99.6,100.1,67.9,56.2,50.3,44.4,48.7,32.0,28.8,24.2,22.1,18.8,18.0,18.6,14.5,18.6,16.5,23.6,28.2,33.5,40.1,79.8,64.7
82795,CAMPINA GRANDE,PB,9.3,15.2,22.7,17.8,28.9,17.3,24.2,30.8,34.9,22.6,34.0,31.9,36.6,29.4,34.0,35.6,49.8,40.4,39.3,42.3,34.1,25.7,18.8,20.6,14.7,13.1,2.8,4.2,5.2,3.8,3.6,4.8,3.5,4.2,4.5,NaN
83783,CAMPO MOURAO,PR,75.7,86.2,59.1,69.1,58.1,49.7,40.2,46.0,52.7,34.0,40.3,38.3,41.0,36.7,54.2,41.5,46.8,40.1,30.7,38.0,28.5,25.1,21.5,21.8,41.2,35.2,61.2,52.5,68.1,62.8,44.7,55.2,52.9,60.4,49.0,65.7
83698,CAMPOS,RJ,49.5,40.7,37.6,23.3,26.0,14.3,44.1,33.8,39.9,23.2,24.1,18.7,15.2,26.5,20.9,13.4,6.2,11.5,13.6,12.9,8.3,10.2,8.1,11.3,15.2,18.1,24.1,19.0,18.0,41.8,41.8,59.8,58.4,50.3,56.6,41.3
83714,CAMPOS DO JORDAO,SP,83.3,85.9,77.0,75.0,83.2,51.9,62.9,72.7,59.7,34.3,25.9,25.3,22.4,19.6,29.3,20.6,9.2,12.6,10.4,16.0,16.0,11.0,6.3,14.6,22.7,22.1,34.1,43.0,45.6,56.6,48.6,67.1,57.8,68.2,75.2,89.8
83887,CAMPOS NOVOS,SC,70.8,72.9,67.3,65.3,57.2,55.0,49.8,44.5,62.6,49.8,52.5,61.8,36.9,59.3,70.3,51.3,59.1,57.5,63.5,54.7,54.2,53.5,42.2,45.4,58.9,70.4,79.6,80.9,91.6,78.4,56.8,52.6,39.1,52.6,60.5,67.4
83270,CANARANA,MT,93.7,97.6,113.1,121.4,108.0,88.5,76.4,94.5,101.4,55.9,NaN,NaN,6.4,4.4,6.8,2.6,2.1,0.4,0.1,0.0,3.3,0.0,0.1,3.2,8.5,13.6,24.9,44.7,46.1,72.2,79.4,82.8,65.5,101.9,104.4,100.7
83398,CANAVIEIRAS,BA,30.1,39.5,45.4,41.1,47.4,40.5,49.9,57.8,73.0,61.2,61.3,61.8,62.5,41.5,64.8,51.3,44.3,78.9,47.9,50.2,54.0,39.7,40.7,32.6,31.2,27.7,29.5,36.1,40.9,57.3,52.6,48.5,67.4,43.6,56.7,40.1
83639,CAPARAO,MG,83.7,67.2,67.8,48.6,49.9,39.6,77.7,57.3,46.8,33.8,21.7,20.2,14.9,12.1,14.9,6.9,1.7,5.4,3.0,3.1,2.2,7.1,5.3,9.3,7.3,10.0,23.6,19.4,24.8,57.7,55.0,73.8,81.0,95.5,96.7,84.0
83514,CAPINOPOLIS,MG,106.7,85.6,95.5,85.4,66.0,66.1,70.7,63.3,64.5,38.1,29.4,8.8,14.8,11.7,12.4,10.7,4.6,4.0,0.8,1.8,5.3,1.5,1.0,5.9,13.9,12.4,19.3,30.8,32.2,47.1,51.2,63.0,66.4,74.7,81.9,87.1
82042,CARACARAI,RR,22.2,16.7,20.8,19.3,16.8,12.2,16.1,23.9,52.7,46.2,72.5,97.0,125.9,116.4,101.2,121.9,129.6,113.1,113.0,103.1,102.6,78.8,74.2,56.3,52.3,54.3,39.0,30.5,35.4,25.9,26.6,47.7,16.4,NaN,NaN,NaN
82976,CARACOL,PI,47.2,35.9,48.2,42.0,42.8,32.5,35.0,37.1,43.9,28.5,27.6,14.8,9.1,3.7,4.8,NaN,NaN,NaN,0.3,0.3,0.1,0.5,0.0,0.0,0.7,0.0,3.7,3.7,12.1,15.8,17.0,31.5,37.3,28.9,36.3,25.8
83592,CARATINGA,MG,84.6,67.0,55.4,46.6,40.3,26.9,50.9,43.8,47.1,31.7,26.0,15.8,9.9,10.6,12.9,2.7,3.9,4.1,1.5,1.8,2.6,2.1,2.8,3.9,5.5,7.8,23.0,15.5,20.3,50.5,79.2,59.2,67.1,82.8,92.1,86.7
83498,CARAVELAS,BA,31.4,19.7,38.7,30.2,21.7,23.4,39.7,46.8,61.7,59.2,61.3,51.8,46.5,41.0,40.5,30.7,30.6,26.4,26.3,41.6,39.3,19.4,29.4,23.2,18.0,22.2,38.4,33.2,28.9,55.3,67.2,53.3,96.1,57.6,51.2,31.3
83485,CARBONITA,MG,43.3,59.2,48.0,51.7,34.6,21.8,50.3,39.8,29.9,21.2,15.8,7.5,2.8,10.2,5.2,1.3,0.7,1.0,0.5,1.5,1.2,0.6,0.7,2.3,2.5,2.6,14.3,14.8,18.0,48.9,64.9,54.8,76.0,78.0,88.4,70.2
83408,CARINHANHA,BA,41.6,45.7,55.3,45.7,39.5,21.0,50.5,39.9,40.1,21.6,7.8,8.5,1.1,1.1,2.5,0.2,0.1,1.4,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.2,8.6,NaN,NaN,NaN,44.2,63.0,60.2,69.6,48.8,53.0
83807,CARMO,RJ,NaN,NaN,69.4,46.5,40.9,35.4,42.4,45.3,40.6,38.5,15.2,21.7,9.9,17.7,13.0,5.2,2.8,5.4,2.8,8.5,3.4,6.1,9.3,4.0,13.8,15.6,19.3,29.3,33.3,43.8,68.6,60.3,68.5,87.3,93.6,84.6
82765,CAROLINA,MA,97.2,93.2,112.5,109.5,109.7,69.8,77.1,106.2,109.8,77.7,71.8,56.9,45.4,28.1,18.1,10.2,1.1,1.8,3.3,2.5,1.5,1.1,1.4,6.6,8.4,9.6,19.5,31.8,27.8,57.4,54.6,57.5,62.6,68.6,72.9,89.5
83813,CASTRO,PR,57.5,56.8,62.8,50.7,58.6,47.7,37.4,46.5,48.8,27.6,33.3,30.2,24.1,28.1,46.2,39.3,32.3,36.7,24.4,34.6,31.9,28.2,24.9,19.9,33.4,39.5,47.0,53.9,46.7,48.5,27.2,47.3,37.5,45.4,41.5,57.7
83526,CATALAO,GO,96.1,85.5,90.4,81.8,65.9,70.2,80.6,69.4,62.7,38.8,26.4,12.4,11.2,9.0,8.2,8.6,1.1,1.6,0.3,0.9,2.8,1.8,1.9,4.8,11.2,8.0,17.5,31.3,27.9,40.5,54.1,73.9,60.5,84.3,78.8,87.8
83676,CATANDUVA,SP,99.3,68.0,73.8,70.7,65.9,39.3,46.7,52.8,42.6,29.4,21.9,16.0,9.7,15.3,26.5,15.3,6.2,7.9,4.9,5.0,6.3,7.4,4.2,7.8,14.7,15.0,26.7,28.4,28.5,33.6,37.1,48.6,41.7,50.9,64.2,82.0
82476,CAXIAS,MA,61.6,57.3,80.8,81.5,101.7,65.4,91.2,94.5,138.4,111.4,99.3,70.0,70.6,39.4,32.2,14.9,6.4,9.6,7.0,5.4,6.2,3.1,2.9,5.0,3.4,1.2,5.8,7.1,8.9,9.9,12.1,10.4,18.6,29.5,19.6,41.2
83942,CAXIAS DO SUL,RS,55.3,55.5,56.7,45.1,56.6,48.5,40.4,38.9,42.1,37.5,43.3,52.9,28.6,46.6,56.2,44.9,48.4,53.4,68.6,59.7,56.0,49.5,40.0,50.5,38.0,70.2,54.9,59.8,67.7,64.8,50.6,47.2,46.6,45.7,40.0,68.9
82596,CEARA MIRIM,RN,9.0,25.0,43.3,19.0,50.1,38.5,48.7,54.9,88.0,53.1,63.0,72.9,55.8,56.6,53.5,68.6,81.9,81.3,69.3,68.1,48.7,24.6,23.6,23.1,16.8,17.3,6.3,4.2,5.6,5.5,7.7,7.0,7.6,4.4,5.6,14.9
82382,CHAPADINHA,MA,63.3,68.9,95.5,79.6,125.3,70.2,102.7,110.2,146.2,111.4,114.3,106.0,102.1,48.1,46.2,30.6,25.1,13.6,14.1,8.9,4.0,1.2,3.1,1.6,0.6,0.8,1.1,1.5,10.1,5.0,11.0,10.8,16.6,13.3,19.7,51.3
83883,CHAPECO,SC,57.0,63.4,66.6,80.8,70.1,54.6,53.4,39.3,55.6,51.0,65.0,54.4,34.4,49.2,73.4,47.9,62.5,72.0,69.9,59.8,44.1,52.0,41.2,37.3,51.2,69.8,78.6,73.9,94.5,85.5,60.0,57.1,44.3,61.6,63.7,63.0
83192,CIPO,BA,12.7,12.8,17.7,10.7,18.5,13.7,15.4,22.5,20.5,21.1,11.9,20.0,18.5,17.5,22.0,20.4,21.0,19.3,18.3,22.0,17.5,13.2,13.2,11.7,10.9,9.1,9.5,6.8,9.0,7.5,11.7,21.1,15.6,13.2,14.1,11.3
82425,COARI,AM,94.8,87.6,83.8,101.3,92.3,80.7,109.4,108.7,104.3,97.0,95.9,99.5,80.7,64.7,67.4,43.4,47.7,NaN,NaN,31.6,17.7,16.9,31.4,26.7,33.2,NaN,32.3,41.2,43.5,59.7,57.0,79.8,65.1,73.6,81.3,97.1
82326,CODAJAS,AM,110.4,122.9,124.8,138.2,120.8,99.8,154.5,124.7,156.3,130.0,137.6,117.4,122.4,83.5,94.9,58.8,53.6,47.8,38.8,38.9,26.0,18.5,33.7,30.3,41.5,33.0,45.3,45.6,61.3,72.7,70.2,94.9,78.3,101.1,129.1,137.4
82676,COLINAS,MA,53.9,59.5,80.8,58.2,81.7,51.8,74.1,80.6,94.7,80.1,62.9,33.5,40.7,21.6,17.5,7.4,2.3,4.5,4.1,2.4,2.1,2.3,0.6,3.9,5.2,5.5,13.2,13.4,15.0,31.2,21.4,45.0,38.3,40.7,33.1,55.0
82861,CONCEICAO DO ARAGUAIA,PA,74.4,83.4,92.1,106.6,96.8,61.8,94.3,76.3,104.0,74.9,74.8,45.6,51.8,19.6,25.6,7.4,1.1,2.0,0.7,1.6,0.6,0.8,2.1,2.8,4.9,8.9,32.6,32.1,36.7,67.0,67.8,66.3,87.2,63.9,90.2,84.5
83718,CORDEIRO,RJ,89.4,92.9,72.7,40.9,46.8,41.0,56.5,52.2,44.2,33.7,13.7,17.5,12.4,19.4,10.1,8.0,4.3,6.9,5.6,6.2,5.6,8.0,7.8,4.9,19.0,14.5,20.0,21.6,26.3,42.2,62.1,82.3,70.2,79.2,82.5,83.1
83286,CORRENTINA,BA,44.1,44.9,54.7,53.5,41.7,26.1,43.6,44.8,43.4,25.8,19.2,17.9,3.0,2.6,2.9,0.2,0.1,0.2,NaN,NaN,NaN,0.7,0.5,0.2,1.6,0.3,8.0,13.7,21.7,34.1,58.1,61.0,75.5,69.6,59.3,52.9
83912,CRUZ ALTA,RS,51.3,54.9,51.5,47.1,41.6,54.4,50.0,38.0,46.7,47.5,43.7,59.1,30.2,56.9,66.9,48.4,55.9,50.3,60.1,38.9,54.8,45.6,32.8,37.3,36.9,62.8,54.8,74.4,87.3,77.9,63.1,45.4,45.7,44.9,47.3,68.8
83222,CRUZ DAS ALMAS,BA,14.2,25.8,28.4,26.8,24.0,25.2,23.3,28.6,35.9,33.6,41.4,57.6,47.8,46.8,39.1,56.6,46.8,48.3,43.0,46.1,40.9,33.0,34.6,26.3,33.2,23.4,23.9,16.0,19.6,15.4,21.1,16.9,33.6,27.2,20.2,12.3
82704,CRUZEIRO DO SUL,AC,75.1,82.1,88.7,85.9,90.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.5,48.7,49.0,38.5,24.2,31.3,20.3,21.9,18.6,17.4,22.4,30.0,26.7,36.4,52.5,53.7,58.1,60.9,61.2,65.2,79.2,80.1,62.7,105.3
82693,CRUZETA,RN,29.4,17.9,38.8,19.8,44.8,25.5,32.9,47.1,64.0,48.6,38.0,49.4,28.7,22.5,28.0,17.0,13.9,7.8,5.4,6.8,4.9,4.0,2.2,2.9,1.1,1.3,0.3,0.3,0.2,3.7,0.8,0.4,1.3,2.7,4.2,17.5
83361,CUIABA,MT,72.3,79.3,81.4,87.8,87.8,78.4,58.5,86.2,80.7,50.4,33.7,26.9,16.2,17.9,16.1,6.5,2.7,10.2,2.7,2.6,4.8,2.8,2.6,7.7,10.0,12.9,27.6,23.1,43.2,62.3,47.6,81.1,65.9,70.8,67.1,62.1
83842,CURITIBA,PR,69.0,79.3,77.0,58.4,71.1,55.6,52.0,51.3,43.3,24.5,29.1,32.1,24.8,28.4,37.9,40.0,33.8,38.3,36.8,32.6,34.2,29.7,28.5,23.1,34.5,43.8,55.9,51.1,56.3,48.2,27.1,54.5,42.8,45.5,41.8,58.8
83536,CURVELO,MG,65.9,60.9,74.2,59.4,36.3,37.4,67.2,44.3,40.7,18.3,11.4,10.7,5.3,8.8,6.7,2.7,0.9,0.8,0.1,1.1,1.9,0.8,2.8,3.5,4.7,5.5,14.5,13.2,23.9,31.5,62.9,64.1,66.0,94.1,87.9,82.8
83538,DIAMANTINA,MG,78.8,78.0,84.2,67.1,49.3,38.4,62.8,57.0,57.2,36.3,21.5,15.5,7.8,10.6,7.0,3.9,1.3,1.3,0.7,1.6,2.6,2.7,2.3,6.6,5.2,6.9,19.2,22.0,35.9,57.1,80.9,73.7,82.2,83.7,102.5,92.5
83309,DIAMANTINO,MT,111.1,90.4,104.1,112.6,137.6,95.5,90.8,97.0,96.2,58.9,49.7,28.0,27.5,14.7,13.0,5.9,2.6,4.8,1.8,0.7,6.8,3.7,3.2,13.4,10.9,18.2,30.5,37.2,51.4,85.6,60.5,76.6,100.9,116.8,78.9,83.6
83635,DIVINOPOLIS,MG,103.0,85.3,104.4,50.3,73.2,42.9,79.5,50.9,36.4,30.1,14.2,13.3,5.7,8.7,16.1,13.9,2.8,5.5,0.0,2.5,5.4,3.8,2.7,6.5,11.5,8.3,24.1,26.9,35.0,47.6,60.8,65.6,70.7,82.1,96.4,97.4
82610,EIRUNEPE,AM,113.4,100.1,112.0,104.6,91.5,107.7,105.0,98.5,108.1,111.9,90.9,73.9,84.6,47.4,42.1,44.9,26.6,24.2,24.4,19.7,19.1,20.1,25.9,31.5,32.1,31.1,65.8,53.9,62.1,82.4,67.7,86.3,78.1,105.2,87.1,110.4
83964,ENCRUZILHADA DO SUL,RS,53.1,50.6,52.2,48.0,41.4,36.8,37.7,34.8,38.8,40.4,51.9,45.1,33.5,53.2,51.0,46.2,47.6,42.3,51.4,48.3,72.5,44.2,34.7,43.3,41.8,68.3,47.3,54.4,65.0,54.5,39.7,47.9,33.7,36.1,34.4,68.9
83338,ESPINOSA,MG,27.5,41.6,37.0,31.0,30.2,11.5,32.4,33.8,31.7,22.0,9.5,4.5,3.9,1.5,2.3,0.8,0.2,0.2,0.4,0.9,NaN,0.0,1.4,0.3,1.0,0.9,3.7,5.9,10.5,23.6,36.7,37.0,52.2,62.7,48.0,51.4
83581,FLORESTAL,MG,102.0,81.5,94.0,56.6,43.8,37.4,69.3,56.9,50.7,29.7,10.2,10.5,6.0,10.0,11.0,8.7,2.2,2.0,0.1,NaN,4.0,1.1,1.9,4.0,11.1,9.9,21.9,27.4,22.8,37.4,64.7,73.8,77.9,77.3,120.4,104.3
82678,FLORIANO,PI,57.6,69.1,60.3,47.7,67.8,48.5,49.1,68.0,67.4,48.9,46.9,32.2,21.4,13.3,17.2,3.1,2.0,1.0,3.8,0.3,0.1,0.1,0.0,0.3,2.3,2.6,6.1,7.3,13.2,28.6,19.5,26.9,30.9,38.5,44.4,36.2
83897,FLORIANOPOLIS,SC,67.0,74.4,103.5,61.0,66.4,70.2,70.7,52.1,53.7,40.4,28.2,42.6,31.9,49.3,42.0,28.2,23.9,30.4,36.9,27.3,34.2,38.8,21.0,29.3,43.0,40.1,60.1,52.1,44.3,53.2,45.4,44.7,52.9,46.1,53.5,74.6
82212,FONTE BOA,AM,80.6,80.8,74.4,80.6,64.9,62.0,91.9,70.0,92.2,79.4,96.4,101.2,107.3,91.2,94.0,79.8,67.1,68.7,72.5,59.9,42.8,35.3,41.0,45.5,43.9,45.7,42.6,49.5,50.8,63.3,59.5,57.7,60.8,68.7,79.8,101.9
83379,FORMOSA,GO,77.3,61.6,84.0,82.1,63.8,51.4,72.0,64.7,74.3,45.3,29.2,18.4,7.4,6.3,5.8,2.0,1.1,0.8,0.0,0.2,0.0,0.2,2.5,4.8,5.7,5.6,16.5,23.0,31.6,47.1,63.3,59.9,84.6,80.5,80.4,85.9
83334,FORMOSO,MG,53.9,59.5,75.0,68.8,68.6,39.1,67.2,78.6,73.9,37.7,32.3,17.9,7.2,5.4,3.2,1.5,0.7,0.8,0.0,0.3,0.0,0.0,1.8,1.9,NaN,NaN,NaN,13.0,24.3,50.7,67.7,64.6,75.2,69.2,75.5,69.3
82397,FORTALEZA,CE,47.0,51.1,58.4,43.9,77.5,65.6,95.4,96.6,143.8,124.8,123.5,136.7,87.8,59.2,82.3,43.1,41.7,45.2,33.9,22.1,13.7,9.3,4.5,5.5,4.0,6.7,2.9,2.6,4.0,2.9,2.4,4.8,2.8,5.4,12.2,19.5
83630,FRANCA,SP,104.2,86.5,128.8,94.5,76.6,68.0,72.2,61.0,71.9,30.8,31.4,20.7,21.8,13.2,22.1,9.5,5.4,8.1,2.5,6.7,6.1,6.5,5.9,7.6,17.2,16.9,26.3,40.6,48.5,58.3,57.7,71.4,72.6,85.6,99.7,94.1
82893,GARANHUNS,PE,10.5,13.0,16.3,10.5,18.2,12.6,14.2,31.0,26.3,26.1,23.3,28.3,38.9,35.3,42.6,51.1,59.9,41.5,40.6,45.4,51.7,39.1,40.9,27.0,23.1,20.6,6.9,11.9,9.6,8.2,4.8,4.4,4.4,5.8,8.0,17.2
83423,GOIANIA,GO,87.6,73.1,88.5,81.5,84.6,69.7,85.6,83.1,89.8,67.2,49.6,20.9,10.9,11.1,8.3,5.8,1.5,1.1,0.3,0.2,1.0,0.8,3.9,4.7,9.9,12.5,21.8,39.3,36.0,68.7,61.6,69.7,88.3,92.8,86.8,92.3
83374,GOIAS,GO,97.8,108.3,123.6,94.3,92.2,76.0,78.4,74.0,86.9,48.5,31.5,20.8,5.9,9.1,6.9,5.9,3.0,2.8,1.2,0.2,1.4,0.0,2.7,5.3,8.1,10.8,21.4,35.6,41.3,50.6,74.3,81.0,86.8,95.4,113.0,114.3
82487,GUARAMIRANGA,CE,53.0,51.1,79.9,39.5,73.2,58.0,68.4,79.8,126.3,99.1,95.4,99.8,80.4,64.9,64.1,64.2,55.7,57.9,40.6,39.6,25.5,16.8,11.0,10.5,5.4,12.5,5.4,7.2,9.4,12.5,11.1,12.8,12.2,10.6,22.3,30.2
83446,GUARATINGA,BA,25.6,42.8,33.1,28.0,30.5,24.5,40.6,48.3,42.4,36.5,37.6,28.6,20.6,18.0,29.4,22.4,16.2,21.7,19.8,22.2,24.9,16.2,19.0,16.6,15.2,18.4,16.1,21.4,26.1,41.3,42.2,45.4,81.8,58.8,51.8,38.3
82067,IAUARETE,AM,74.0,70.7,83.0,97.9,74.3,85.0,105.4,78.7,114.8,96.5,114.0,114.9,117.3,139.8,136.7,113.7,105.2,122.7,100.3,95.2,101.3,68.8,83.1,72.6,63.8,77.1,69.3,NaN,NaN,NaN,68.8,74.0,61.4,76.8,NaN,94.0
83114,IGUABA GRANDE,RJ,34.0,31.2,38.5,16.2,28.2,16.6,41.3,28.1,39.9,22.1,19.9,23.3,20.3,33.7,20.8,18.6,9.8,12.3,20.0,18.9,14.0,12.0,10.3,13.2,17.4,16.4,26.7,25.9,14.9,23.8,37.8,38.8,35.5,33.1,38.5,39.9
82686,IGUATU,CE,30.2,36.5,64.8,43.5,71.5,51.2,52.2,78.2,86.8,56.7,74.9,54.0,47.8,24.2,30.6,9.9,8.8,9.5,3.7,8.5,4.0,3.6,2.0,5.9,0.5,5.9,1.2,2.4,2.4,14.9,5.1,2.5,8.1,11.2,18.2,24.7
82564,IMPERATRIZ,MA,79.9,98.1,83.3,81.6,85.6,73.3,97.9,91.4,94.1,78.7,68.5,49.6,42.5,21.9,26.7,5.6,2.6,6.0,2.5,1.8,2.1,0.4,0.9,4.9,8.7,5.4,12.4,10.7,21.4,31.4,28.6,38.0,60.4,46.6,69.1,61.6
83872,INDAIAL,SC,78.0,83.5,92.3,55.9,64.3,53.5,55.3,39.8,49.2,32.0,25.2,46.7,23.8,40.1,47.4,35.7,43.8,44.9,45.5,35.4,41.9,46.6,25.3,34.2,45.3,53.1,60.7,67.9,59.4,48.4,41.1,52.9,57.6,46.7,49.9,64.2
