Codigo,Estacao,UF,jan1,jan2,jan3,fev1,fev2,fev3,mar1,mar2,mar3,abr1,abr2,abr3,mai1,mai2,mai3,jun1,jun2,jun3,jul1,jul2,jul3,ago1,ago2,ago3,set1,set2,set3,out1,out2,out3,nov1,nov2,nov3,dez1,dez2,dez3
83470,RIO VERDE,GO,NaN,NaN,NaN,NaN,NaN,69.4,92.0,91.4,102.1,48.8,32.7,13.1,4.8,14.7,16.3,8.4,6.4,2.2,1.1,1.7,4.1,0.8,1.9,4.8,9.0,7.6,24.0,34.6,41.0,50.2,80.3,76.2,91.1,83.9,83.8,NaN
83441,SALINAS,MG,24.7,42.9,44.6,44.1,28.9,19.7,47.2,42.4,31.2,20.3,15.9,7.0,6.6,6.0,3.7,1.9,1.2,0.8,2.0,1.6,1.1,1.0,0.5,1.2,2.4,1.7,8.1,11.3,14.5,36.3,55.7,56.8,64.3,70.0,56.0,49.8
83229,SALVADOR,BA,24.5,28.2,24.2,30.1,34.3,34.4,29.6,45.2,72.5,74.0,81.5,129.4,95.2,100.4,106.6,80.5,83.2,73.9,65.4,72.6,55.6,44.2,47.5,38.1,35.5,31.1,32.8,24.3,30.5,36.2,37.7,27.3,43.2,21.4,26.5,15.5
83789,SANTA CRUZ,RJ,NaN,NaN,62.7,41.9,46.1,25.5,NaN,NaN,NaN,55.1,23.1,34.0,23.9,32.2,21.2,29.5,14.5,17.4,14.3,21.0,18.4,12.9,7.4,17.0,22.5,15.8,31.2,NaN,NaN,34.3,38.2,49.4,37.4,37.6,46.8,NaN
83936,SANTA MARIA,RS,52.2,64.6,53.8,48.5,41.6,41.6,56.9,43.0,42.2,48.2,56.7,46.3,27.3,48.1,59.0,44.3,39.6,48.7,49.2,41.7,56.4,40.6,35.3,38.5,38.0,67.7,49.6,65.8,73.5,63.9,51.5,42.8,41.7,38.2,51.9,71.4
83696,SANTA MARIA MADALENA,RJ,79.4,74.1,68.4,35.7,41.0,45.9,NaN,NaN,56.0,39.0,26.4,26.1,14.5,23.9,21.7,17.3,10.1,15.0,13.8,16.7,11.0,10.7,19.1,12.7,22.1,20.2,34.9,27.7,32.9,37.1,63.5,80.5,70.1,79.4,85.7,82.6
83997,SANTA VITORIA DO PALMAR,RS,32.5,22.8,26.1,52.3,31.9,43.7,34.7,38.8,43.0,41.4,50.4,31.5,39.9,33.3,43.6,33.2,38.1,43.1,33.0,35.0,43.5,32.1,36.6,37.4,35.8,33.2,27.8,34.6,38.4,27.8,23.8,26.7,17.5,21.5,30.0,37.5
83805,SANTO ANTONIO DE PADUA,RJ,73.1,58.1,59.9,37.1,35.5,37.1,38.5,40.4,42.2,27.6,14.3,17.1,12.7,17.2,10.6,10.2,4.2,5.3,NaN,NaN,NaN,8.4,6.2,8.0,15.3,17.5,22.9,16.0,36.6,39.6,54.0,73.5,67.3,77.3,87.9,86.1
83726,SAO CARLOS,SP,102.6,93.0,90.8,74.9,78.6,68.7,50.6,61.7,59.2,35.8,23.4,22.8,13.7,20.1,26.8,19.4,6.6,10.2,8.1,8.9,11.1,7.2,7.5,9.8,20.6,22.7,23.5,36.4,39.1,44.6,51.9,55.8,49.8,69.6,83.2,73.4
82106,SAO GABRIEL DA CACHOEIRA,AM,98.1,88.4,94.3,95.1,72.6,83.5,98.3,95.7,89.7,93.2,97.4,109.6,124.8,119.5,110.7,97.0,86.5,95.3,90.6,74.2,85.4,58.3,77.7,62.7,63.4,49.0,58.8,57.0,58.3,67.1,72.7,78.6,75.2,63.9,95.4,98.0
